sqlite> select * from domain where sourceid=2 and id<2648365;
Id;Name;Level;sourceid;CategoryName;CatId;Cat2Id;Cat3Id;Invariance;Pcountry
2645040;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645041;image5.e-domizil.de;3;2;Computer;13;;;5;
2645042;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645043;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645044;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645045;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645046;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645047;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645048;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645049;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645050;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645051;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645052;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645053;conf.peachygamesllc.com;3;2;Gambling;38;;;5;
2645054;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645055;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645056;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645057;professional.pcgamer.site;3;2;Gambling;38;;;5;
2645058;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645059;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645060;voyages-sncf.com;2;2;Computer;13;;;5;
2645061;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645062;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645063;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645064;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645065;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645066;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645067;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645068;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645069;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645070;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645071;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645072;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645073;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645074;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645075;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645076;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645077;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645078;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645079;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645080;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645081;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645082;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645083;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645084;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645085;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645086;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645087;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645088;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645089;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645090;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645091;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645092;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645093;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645094;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645095;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645096;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645097;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645098;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645099;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645100;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645101;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645102;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645103;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645104;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645105;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645106;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645107;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645108;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645109;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645110;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645111;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645112;ausmalbild.net;2;2;Computer;13;;;5;
2645113;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645114;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645115;cdn2.inner-active.mobi;3;2;Computer;13;;;5;
2645116;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645117;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645118;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645119;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645120;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645121;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645122;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645123;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645124;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645125;join.pro-gaming-world.com;3;2;Gambling;38;;;5;
2645126;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645127;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645128;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645129;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645130;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645131;snapengage.com;2;2;Computer;13;;;5;
2645132;therecoveryvillage.com;2;2;Health;34;;;5;
2645133;teenrehabcenter.org;2;2;Health;34;;;5;
2645134;newlifehouse.com;2;2;Health;34;;;5;
2645135;kaltura.com;2;2;Computer;13;;;5;
2645136;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645137;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645138;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645139;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645140;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645141;salon.com;2;2;Violence;10;;;5;
2645142;substanceabuse.org;2;2;Health;34;;;5;
2645143;addictionhope.com;2;2;Health;34;;;5;
